nombre_negocio,rating,reseñas,categorias,precio,direccion,telefono,url_yelp
Parachute Hi Fi,4.5,27,Korean,No especificado,"3500 N Elston Ave, Chicago, IL 60618",,https://www.yelp.com/biz/parachute-hi-fi-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Bar Parisette,4.5,28,"Wine Bars, French, New American",No especificado,"2829 W Armitage Ave, Chicago, IL 60647",13129550072.0,https://www.yelp.com/biz/bar-parisette-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Bigsuda,4.5,44,"Asian Fusion, Korean, Noodles",No especificado,"1362 N Milwaukee Ave, Chicago, IL 60622",18722068678.0,https://www.yelp.com/biz/bigsuda-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Chengdu Bistro,4.5,47,Chinese,No especificado,"2211 W North Ave, Chicago, IL 60647",18723152926.0,https://www.yelp.com/biz/chengdu-bistro-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Sotto,4.3,6,Italian,No especificado,"71 W Monroe St Lower Level, Chicago, IL 60603",13123327475.0,https://www.yelp.com/biz/sotto-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Botanero,4.3,23,"Mexican, Lounges, Cocktail Bars",No especificado,"1413 N Ashland Ave, Chicago, IL 60622",17737703605.0,https://www.yelp.com/biz/botanero-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Copper Club,4.3,26,"Brasseries, Breakfast & Brunch",No especificado,"70 W Madison St, Chicago, IL 60602",13122651867.0,https://www.yelp.com/biz/copper-club-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Lilac Tiger,4.3,39,"Indian, Cocktail Bars",No especificado,"1742 W Division St, Chicago, IL 60622",,https://www.yelp.com/biz/lilac-tiger-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Rendang Republic,4.3,46,"Indonesian, Pan Asian, Asian Fusion",No especificado,"3355 N Clark St, Chicago, IL 60657",,https://www.yelp.com/biz/rendang-republic-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Acerra Italian Kitchen & Bar,4.1,12,"Italian, Bars",No especificado,"2101 W North Ave, Chicago, IL 60622",,https://www.yelp.com/biz/acerra-italian-kitchen-and-bar-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Hiro Izakaya,4.1,15,"Bars, Izakaya",No especificado,"1600 W Chicago Ave, Chicago, IL 60622",,https://www.yelp.com/biz/hiro-izakaya-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
Chapel Street,4.0,32,"Cafes, Australian, Beer Bar",No especificado,"198 E Delaware Pl, Chicago, IL 60611",13126206320.0,https://www.yelp.com/biz/chapel-street-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
